source_groups,taxon_candidate,benchmark_id,canonical_id,canonical_name_provisional,x_normalized_px,y_normalized_px,visibility,body_axis_length_px
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,7,lower_caudal_fin_insertion,342.11284994747905,237.23039647218383,2,652.0007668707146
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,8,anal_fin_origin,279.3956895717166,254.97280762309407,2,652.0007668707146
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,9,pelvic_fin_origin,195.7920911847118,266.05741748871094,2,652.0007668707146
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,10,pectoral_fin_base,70.4351594583419,251.08459538955537,2,652.0007668707146
草鱼,Ctenopharyngodon idella,flm_ed199c433c971508,11,posterior_opercular_margin,87.2965864542063,223.5880402398322,2,652.0007668707146
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,1,snout_tip,24.6153846153847,219.84015736789502,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,1,snout_tip,24.615384615384617,217.49389606521274,2,587.1669268615186
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,2,nape_dorsal_outline,72.21149856900104,204.23762328193806,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,2,nape_dorsal_outline,69.00339919387676,207.79642766700618,2,587.1669268615186
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,3,dorsal_fin_origin,190.71884019562742,187.48940911453496,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,3,dorsal_fin_origin,190.08343922114173,186.90749663371594,2,587.1669268615186
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,4,dorsal_fin_insertion,224.37329336925373,193.6483465826326,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,4,dorsal_fin_insertion,240.829122177983,195.47724034989275,2,587.1669268615186
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,5,upper_caudal_fin_insertion,346.5442312591391,202.775087273674,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,5,upper_caudal_fin_insertion,347.1571739501489,199.71150917737722,2,587.1669268615186
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,6,posterior_caudal_peduncle_midpoint,356.9230769230769,219.84015736789502,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,6,posterior_caudal_peduncle_midpoint,356.92307692307696,217.49389606521277,2,587.1669268615186
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,7,lower_caudal_fin_insertion,347.6334738981494,237.45347690292067,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,7,lower_caudal_fin_insertion,347.5060938945034,232.55432184018323,2,587.1669268615186
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,8,anal_fin_origin,248.79619345874363,254.68866557362668,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,8,anal_fin_origin,245.08363221770904,254.45434961830188,2,587.1669268615186
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,9,pelvic_fin_origin,166.50475864314984,260.510590885465,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,9,pelvic_fin_origin,167.36797974986305,261.09250336628406,2,587.1669268615186
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,10,pectoral_fin_base,65.03588088788194,249.79876431115616,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,10,pectoral_fin_base,76.45120143152135,251.56467560400674,2,587.1669268615186
翘嘴鲌,Culter alburnus,flm_023f1449aca44f09,11,posterior_opercular_margin,90.88181077593089,227.50113705396177,2,642.000778815727
野生翘嘴鲌,Culter alburnus,flm_1742dbd519aecad3,11,posterior_opercular_margin,92.64417122476961,237.23196960248285,2,587.1669268615186
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,1,snout_tip,24.61538461538464,217.9675319516909,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,1,snout_tip,24.61538461538461,214.2168410769527,2,615.939120368239
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,2,nape_dorsal_outline,92.94127733973238,185.6693933929352,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,2,nape_dorsal_outline,83.09973756846426,187.2087004884272,2,615.939120368239
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,3,dorsal_fin_origin,199.57245398715037,173.5167727786046,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,3,dorsal_fin_origin,191.64734132705644,176.34465535255507,2,615.939120368239
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,4,dorsal_fin_insertion,246.82458232094507,186.5507739761478,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,4,dorsal_fin_insertion,245.24318054125823,187.97075154609138,2,615.939120368239
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,5,upper_caudal_fin_insertion,343.66003771806083,196.05396153373715,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,5,upper_caudal_fin_insertion,345.5562532732976,194.31241781906684,2,615.939120368239
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,6,posterior_caudal_peduncle_midpoint,356.9230769230769,217.9675319516909,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,6,posterior_caudal_peduncle_midpoint,356.92307692307696,214.2168410769527,2,615.939120368239
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,7,lower_caudal_fin_insertion,343.61921906326364,239.66037927333412,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,7,lower_caudal_fin_insertion,342.343375940525,233.93469321382423,2,615.939120368239
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,8,anal_fin_origin,258.1691447504949,264.11982430900673,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,8,anal_fin_origin,257.5524949244245,264.0181915764404,2,615.939120368239
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,9,pelvic_fin_origin,178.5848623122802,274.48322722139534,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,9,pelvic_fin_origin,168.27865147944436,271.65534464744496,2,615.939120368239
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,10,pectoral_fin_base,79.17480805888465,258.491385353088,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,10,pectoral_fin_base,74.34053000910592,263.3402289113461,2,615.939120368239
鲢鱼,Hypophthalmichthys molitrix,flm_7291efdeae7e541b,11,posterior_opercular_margin,108.37299655610099,223.09783213888142,2,663.0369522130724
野生鲢鱼,Hypophthalmichthys molitrix,flm_9aefe4dbc6819c9b,11,posterior_opercular_margin,96.64585205901192,226.98513793622934,2,615.939120368239
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,1,snout_tip,24.615384615384585,228.48327797882993,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,1,snout_tip,24.615384615384585,219.38706626488988,2,663.8207589402429
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,2,nape_dorsal_outline,104.9346665868569,182.56258402263575,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,2,nape_dorsal_outline,112.2430267742959,187.45850628273732,2,663.8207589402429
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,3,dorsal_fin_origin,206.60921446216614,180.32152742838562,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,3,dorsal_fin_origin,204.19175938640012,171.85507127976797,2,663.8207589402429
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,4,dorsal_fin_insertion,253.50134355328993,196.1323913630797,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,4,dorsal_fin_insertion,236.11353231548486,178.78691481305754,2,663.8207589402429
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,5,upper_caudal_fin_insertion,343.6887291975727,207.34699265696764,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,5,upper_caudal_fin_insertion,347.2786745136731,196.81106541022393,2,663.8207589402429
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,6,posterior_caudal_peduncle_midpoint,356.9230769230769,228.48327797882993,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,6,posterior_caudal_peduncle_midpoint,356.92307692307696,219.38706626488988,2,663.8207589402429
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,7,lower_caudal_fin_insertion,341.2449990859631,247.4320870616061,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,7,lower_caudal_fin_insertion,341.7449639123591,236.68273983277456,2,663.8207589402429
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,8,anal_fin_origin,254.57295065656962,260.17955242931583,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,8,anal_fin_origin,262.4178876554188,264.1884035657166,2,663.8207589402429
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,9,pelvic_fin_origin,182.75663809155571,267.6784725716144,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,9,pelvic_fin_origin,183.3193088517626,276.144928720232,2,663.8207589402429
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,10,pectoral_fin_base,108.72722390020334,260.8993928530407,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,10,pectoral_fin_base,89.42721671123287,262.77443417658276,2,663.8207589402429
鳙鱼,Hypophthalmichthys nobilis,flm_0d56890d27761b6c,11,posterior_opercular_margin,134.9699500272593,224.4088414057078,2,654.1719957320093
野生鳙鱼,Hypophthalmichthys nobilis,flm_aadf871d579b0af6,11,posterior_opercular_margin,121.83313275915701,229.08350274781387,2,663.8207589402429
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,1,snout_tip,24.615384615384613,223.95888582117405,2,565.0318575089373
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,2,nape_dorsal_outline,74.2771491759937,199.78374867151135,2,565.0318575089373
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,3,dorsal_fin_origin,176.00299537899184,146.75374404303398,2,565.0318575089373
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,4,dorsal_fin_insertion,228.69992311571463,169.07510011702504,2,565.0318575089373
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,5,upper_caudal_fin_insertion,349.54646463599954,198.58987618762848,2,565.0318575089373
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,6,posterior_caudal_peduncle_midpoint,356.92307692307696,223.95888582117405,2,565.0318575089373
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,7,lower_caudal_fin_insertion,343.7540493153299,245.58078042248047,2,565.0318575089373
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,8,anal_fin_origin,233.27556691619327,292.04812941810576,2,565.0318575089373
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,9,pelvic_fin_origin,157.89402112040955,301.246255956966,2,565.0318575089373
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,10,pectoral_fin_base,61.82840034666597,264.3486224075648,2,565.0318575089373
团头鲂,Megalobrama amblycephala,flm_1a1a2a6b51c3c29d,11,posterior_opercular_margin,86.26479468329867,234.02405314388298,2,565.0318575089373
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,1,snout_tip,24.615384615384585,227.8240080040451,2,654.404309276765
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,2,nape_dorsal_outline,84.65300865697833,196.65384211230628,2,654.404309276765
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,3,dorsal_fin_origin,190.901534617585,187.94157550000583,2,654.404309276765
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,4,dorsal_fin_insertion,248.451768712554,198.60348093336216,2,654.404309276765
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,5,upper_caudal_fin_insertion,343.14679321775725,207.7770650696896,2,654.404309276765
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,6,posterior_caudal_peduncle_midpoint,356.92307692307696,227.8240080040451,2,654.404309276765
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,7,lower_caudal_fin_insertion,341.98166577902475,248.13129076903317,2,654.404309276765
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,8,anal_fin_origin,276.7950553107181,259.55792020563354,2,654.404309276765
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,9,pelvic_fin_origin,189.88966236976137,260.05842449999415,2,654.404309276765
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,10,pectoral_fin_base,67.416649527544,246.0970706021086,2,654.404309276765
青鱼,Mylopharyngodon piceus,flm_e04c0eb29d5e04ec,11,posterior_opercular_margin,90.68699531271187,227.352990784391,2,654.404309276765
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,1,snout_tip,24.615384615384585,236.16667433813478,2,586.7418512429465
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,2,nape_dorsal_outline,112.2613864324054,174.21407864848692,2,586.7418512429465
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,3,dorsal_fin_origin,284.7048950073937,176.10696201372016,2,586.7418512429465
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,4,dorsal_fin_insertion,324.8309335044592,211.38737353808258,2,586.7418512429465
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,5,upper_caudal_fin_insertion,348.1208314322244,216.35655434594628,2,586.7418512429465
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,6,posterior_caudal_peduncle_midpoint,356.92307692307696,236.16667433813478,2,586.7418512429465
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,7,lower_caudal_fin_insertion,339.83307183309506,252.87636527926304,2,586.7418512429465
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,8,anal_fin_origin,281.8786010280959,273.7859213515131,2,586.7418512429465
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,9,pelvic_fin_origin,160.3682304693732,272.7888032911939,2,586.7418512429465
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,10,pectoral_fin_base,102.80276119226232,263.34369175177153,2,586.7418512429465
鳜鱼,Siniperca chuatsi,flm_899a884b44beb8aa,11,posterior_opercular_margin,155.64905312484223,210.6035788962828,2,586.7418512429465
